Date,Video Title,Content Type,Hook Type,Views,Likes,Comments,Shares,Saves,Engagement Rate (%),Profile Visits,Link Clicks,Notes
2025-01-01,Example: AI Made My Presentation in 30 Seconds,Tool Demo,POV Hook,12500,850,45,120,89,8.83,45,12,Good engagement on tool reveal
2025-01-02,Example: Presentation Anxiety vs AI Solution,Problem/Solution,Relatable Struggle,8900,620,32,85,67,9.02,32,8,High save rate - valuable content
2025-01-03,Example: Professor Reacts to My AI Slides,Social Proof,Shock/Surprise,15600,1200,78,150,95,9.76,67,18,Best performing format so far
,,,,,,,,,,,
,Instructions:,,,,,,,,,,,
,1. Fill in data after each video posts,,,,,,,,,,,
,2. Engagement Rate = (Likes + Comments + Shares) ÷ Views × 100,,,,,,,,,,,
,3. Track Profile Visits and Link Clicks from TikTok analytics,,,,,,,,,,,
,4. Add notes about what worked/didn't work,,,,,,,,,,,
,5. Weekly review: Identify top performing content types,,,,,,,,,,,
,,,,,,,,,,,
,Content Type Categories:,,,,,,,,,,,
,- Tool Demo (showing AI presentation maker),,,,,,,,,,,
,- Problem/Solution (student struggles + AI fix),,,,,,,,,,,
,- Before/After (transformation content),,,,,,,,,,,
,- Educational (tips + tool promotion),,,,,,,,,,,
,- Social Proof (testimonials/reactions),,,,,,,,,,,
,- Behind Scenes (how tool works),,,,,,,,,,,
,,,,,,,,,,,
,Hook Type Categories:,,,,,,,,,,,
,- POV Hook (POV: You have to present tomorrow),,,,,,,,,,,
,- Shock/Surprise (This AI just shocked me),,,,,,,,,,,
,- Relatable Struggle (Me vs presentations),,,,,,,,,,,
,- Social Proof (Professor's reaction),,,,,,,,,,,
,- Question Hook (What if AI could...),,,,,,,,,,,
,- Trend Hijack (Using trending audio/format),,,,,,,,,,,
,,,,,,,,,,,
,Weekly Analysis Goals:,,,,,,,,,,,
,Week 1-2: 3-5% average engagement rate,,,,,,,,,,,
,Week 3-4: 5-8% average engagement rate,,,,,,,,,,,
,Month 2+: 8-15% average engagement rate,,,,,,,,,,,
,,,,,,,,,,,
,Red Flags (Immediate Action Needed):,,,,,,,,,,,
,- Any video under 2% engagement rate,,,,,,,,,,,
,- Declining engagement trend over 5 videos,,,,,,,,,,,
,- Low profile visits despite high views,,,,,,,,,,,
,- High profile visits but low link clicks,,,,,,,,,,,
