Account Name,Date,Video Title,Content Type,Hook Type,Views,Likes,Comments,Shares,Saves,Engagement Rate (%),Profile Visits,Link Clicks,Account Performance,Notes
@PPTMasterAI,2025-01-01,AI Made My Presentation in 30 Seconds,Tool Demo,POV Hook,12500,850,45,120,89,8.83,45,12,Main Account,Good engagement on tool reveal
@StudyHacksAI,2025-01-01,Last Minute Presentation Panic,Problem/Solution,Relatable Struggle,8900,620,32,85,67,9.02,32,8,Student Focus,High save rate - student audience
@PresentationPro,2025-01-01,Professor Reacts to AI Slides,Social Proof,Shock/Surprise,15600,1200,78,150,95,9.76,67,18,Authority Focus,Best performing format
@CollegeLifeAI,2025-01-01,Group Project Saved by AI,Educational,Social Proof,7800,580,28,65,45,8.62,28,6,College Niche,Good group project angle
@AIToolsTested,2025-01-01,Rating AI Presentation Tools,Tool Demo,Question Hook,11200,790,38,95,72,8.25,41,11,Review Format,Comparison content works
,,,,,,,,,,,,,
,ACCOUNT STRATEGY:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 1: @PPTMasterAI (Main Brand Account),,,,,,,,,,,,,
,- Focus: Direct tool promotion,,,,,,,,,,,,,
,- Content: Tool demos and tutorials,,,,,,,,,,,,,
,- CTA: Link in bio to tool,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 2: @StudyHacksAI (Student Problems),,,,,,,,,,,,,
,- Focus: Student pain points,,,,,,,,,,,,,
,- Content: Study struggles + AI solutions,,,,,,,,,,,,,
,- CTA: Soft promotion of tool,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 3: @PresentationPro (Authority/Tips),,,,,,,,,,,,,
,- Focus: Presentation expertise,,,,,,,,,,,,,
,- Content: Tips with tool integration,,,,,,,,,,,,,
,- CTA: Professional advice + tool,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 4: @CollegeLifeAI (Lifestyle),,,,,,,,,,,,,
,- Focus: General college life,,,,,,,,,,,,,
,- Content: AI tools for students,,,,,,,,,,,,,
,- CTA: Broader AI tool ecosystem,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 5: @AIToolsTested (Reviews),,,,,,,,,,,,,
,- Focus: Tool comparisons,,,,,,,,,,,,,
,- Content: Testing different AI tools,,,,,,,,,,,,,
,- CTA: Honest reviews with recommendations,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 6: @LastMinuteHelper (Urgent Problems),,,,,,,,,,,,,
,- Focus: Crisis situations,,,,,,,,,,,,,
,- Content: Emergency study/work help,,,,,,,,,,,,,
,- CTA: Quick fixes with AI,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 7: @GradeBoosterAI (Results Focus),,,,,,,,,,,,,
,- Focus: Academic improvement,,,,,,,,,,,,,
,- Content: Before/after grades,,,,,,,,,,,,,
,- CTA: Proven results with tool,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 8: @PresentationFails (Entertainment),,,,,,,,,,,,,
,- Focus: Funny presentation content,,,,,,,,,,,,,
,- Content: Fails + how AI prevents them,,,,,,,,,,,,,
,- CTA: Entertainment-first approach,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 9: @ThesisHelper (Graduate Students),,,,,,,,,,,,,
,- Focus: Advanced academic work,,,,,,,,,,,,,
,- Content: Thesis and research presentations,,,,,,,,,,,,,
,- CTA: Higher-level academic tools,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account 10: @QuickSlides (Speed Focus),,,,,,,,,,,,,
,- Focus: Time-saving,,,,,,,,,,,,,
,- Content: Fast presentation creation,,,,,,,,,,,,,
,- CTA: Speed and efficiency,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CROSS-ACCOUNT METRICS:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Daily Views Target: 100k+ across all accounts,,,,,,,,,,,,,
,Best Performing Account: Track which account drives most conversions,,,,,,,,,,,,,
,Content Overlap: Avoid posting same content on multiple accounts,,,,,,,,,,,,,
,Timing Strategy: Stagger posts across accounts (every 2 hours),,,,,,,,,,,,,
,Algorithm Distribution: Don't post all accounts from same device/IP,,,,,,,,,,,,,
,,,,,,,,,,,,,
,WEEKLY ANALYSIS:,,,,,,,,,,,,,
,1. Which account has highest engagement?,,,,,,,,,,,,,
,2. Which content type works best per account?,,,,,,,,,,,,,
,3. Cross-pollinate successful formats,,,,,,,,,,,,,
,4. Kill underperforming accounts after 30 days,,,,,,,,,,,,,
,5. Double down on top 3-5 performing accounts,,,,,,,,,,,,,
